"Number","lable","perimeter","sapwood_depth","bark","radius_05","radius_1","radius_15","radius_2","radius_25","radius_3","radius_13","dbh_measured","area_measured","bark_area","hardwood_area","sapwood_area","d_05","d_1","d_15","d_2","d_25","d_3","dbh_scan"
"25",2836,111.4,0.03898,0.00616,0.1729357,0.1566575,0.1495986,0.1443666,0.1433734,0.1342133,0.1547839,0.354597213208743,0.0987553238786349,0.00674303038180395,0.0438845892338294,0.0481277042630015,0.3458714,0.313315,0.2991972,0.2887332,0.2867468,0.2684266,0.3095678
"26",2834,73.6,0.02058,0.00554,0.0918397,0.07937763,0.08495093,0.09351067,0.07951442,0.0773771,0.08433659,0.23427607623127,0.0431067980265537,0.00398101949491309,0.0170809545890807,0.0220448239425599,0.1836794,0.15875526,0.16990186,0.18702134,0.15902884,0.1547542,0.16867318
"27",NA,102.6,0.03932,0.00603,0.18245,0.1531851,0.137972,0.1304602,0.11402,0.1144675,0.11408,0.326585943224569,0.083769294437102,0.00607254886368208,0.0400680298627925,0.0376287157106274,0.3649,0.3063702,0.275944,0.2609204,0.22804,0.228935,0.22816
"28",2606,65.8,0.01699,0.00751,0.1081624,0.1017764,0.09875108,0.09945981,0.08923293,0.07461368,0.1005807,0.209447905108934,0.0344541803904197,0.00476439386017827,0.0142352590096827,0.0154545275205587,0.2163248,0.2035528,0.19750216,0.19891962,0.17846586,0.14922736,0.2011614
"29",5650,89.8,0.02029,0.00625,0.1476884,0.1364751,0.1301755,0.1172191,0.1097133,0.09622044,0.1333427,0.285842277793044,0.0641715913645384,0.00548978153696916,0.0216200713560427,0.0370617384715265,0.2953768,0.2729502,0.260351,0.2344382,0.2194266,0.19244088,0.2666854
"30",5630,116.2,0.02457,0.00752,0.1802833,0.1712867,0.14666,0.1305778,0.1210678,0.1109126,0.1551959,0.369876087745565,0.107449003490087,0.00856058167880243,0.0340534681021389,0.0648349537091452,0.3605666,0.3425734,0.29332,0.2611556,0.2421356,0.2218252,0.3103918
"31",1387,104.4,0.02088,0.0087,0.173056,0.1639427,0.155042,0.1563271,0.1409376,0.1401649,0.1635954,0.332315521175877,0.086734351026904,0.00884501285204979,0.0281327005696956,0.0497566376051587,0.346112,0.3278854,0.310084,0.3126542,0.2818752,0.2803298,0.3271908
"32",106,106.2,0.02623,0.00811,0.1560867,0.1314909,0.1330302,0.1331817,0.133287,0.1182749,0.1315522,0.338045099127186,0.0897509738182678,0.00840619085382883,0.0327644021021884,0.0485803808622505,0.3121734,0.2629818,0.2660604,0.2663634,0.266574,0.2365498,0.2631044
"33",104,129.6,0.02889,0.00803,0.212565,0.1949777,0.1892743,0.1862283,0.1721924,0.1546625,0.1944819,0.412529612494193,0.133659594448118,0.0102043072782632,0.0435660577795518,0.0798892293903034,0.42513,0.3899554,0.3785486,0.3724566,0.3443848,0.309325,0.3889638
"34",127,110.4,0.02985,0.00801,0.1463872,0.1361038,0.1288418,0.1216451,0.1215405,0.1124689,0.13484447,0.351414114346905,0.0969902955597458,0.00864147510118642,0.0372943451788345,0.0510544752797248,0.2927744,0.2722076,0.2576836,0.2432902,0.243081,0.2249378,0.26968894
"35",125,111.2,0.02588,0.00792,0.1511618,0.1463376,0.1281421,0.11990002,0.1229009,0.1155128,0.1411444,0.353960593436375,0.0984010449753123,0.00860997920257386,0.0339965188888329,0.0557945468839056,0.3023236,0.2926752,0.2562842,0.23980004,0.2458018,0.2310256,0.2822888
"36",122,131,0.05068,0.00919,0.1937627,0.1655909,0.1590826,0.1616292,0.1361599,0.1207406,0.1625013,0.416985950900766,0.136562898920001,0.0117735733366892,0.0671689221995569,0.0576204033837547,0.3875254,0.3311818,0.3181652,0.3232584,0.2723198,0.2414812,0.3250026
"37",82,69,0.01564,0.00761,0.09978412,0.09363548,0.098087,0.09255795,0.07624844,0.07611678,0.09884941,0.219633821466816,0.0378868342030257,0.00506896377208604,0.0143442728211939,0.0184735976097458,0.19956824,0.18727096,0.196174,0.1851159,0.15249688,0.15223356,0.19769882
"38",84,64.8,0.01973,0.00684,0.08865657,0.0852399,0.08214078,0.08251854,0.08519257,0.06391547,0.07825987,0.206264806247096,0.0334148986120296,0.00428533870274621,0.0149995058564677,0.0141300540528157,0.17731314,0.1704798,0.16428156,0.16503708,0.17038514,0.12783094,0.15651974
"39",1340,66,0.01668,0.0106,0.1163884,0.1083744,0.1097848,0.1077027,0.1086791,0.1033921,0.1099408,0.210084524881302,0.0346639466054148,0.00664301064944265,0.0156668317737467,0.0123541041822254,0.2327768,0.2167488,0.2195696,0.2154054,0.2173582,0.2067842,0.2198816
"40",1344,157.8,0.03801,0.01138,0.2652526,0.245756,0.242479,0.2447893,0.2424901,0.2399601,0.2436823,0.502293000398022,0.19815458865702,0.0175507899283525,0.0702739065312681,0.110329892197399,0.5305052,0.491512,0.484958,0.4895786,0.4849802,0.4799202,0.4873646
